Country,NDC Round,Extracted Commitment,Target Year,Sector,Quantified,Baseline,Verifiable
KOR,1.0,"reduce its greenhouse gas emissions by 37% from the business-as-usual (BAU, 850.6 MtCO eq) level by 2030 across all economic sectors. 2 In accordance with the Framework Act on Low Carbon, Green Growth",2030,cross-sectoral,True,none,False
KOR,1.0,d will strengthen its efforts to achieve the 2030 mitigation target. Baseline (MtCO eq) 2 Year 2020 2025 2030 BAU 782.5 809.7 850.6 The scenario is based on the BAU projection of KEEI-EGMS (the Korea ,2025,cross-sectoral,False,none,False
KOR,1.0,PCC Fifth Assessment Report to reduce global greenhouse gas emissions by 40-70% from 2010 levels by 2050. In order to achieve the objective of the United Nations Framework Convention on Climate Change,2050,cross-sectoral,True,none,False
COL,1.0,eenhouse gas emissions by 20% with respect to the projected Business-­‐as-­‐Usual Scenario (BAU) by 2030. 350 325 300 275 250 225 200 2010 2015 2020 2025 2030 Conditional Target Subject to the provisi,2030,cross-sectoral,True,none,False
COL,1.0,"projected Business-­‐as-­‐Usual Scenario (BAU) by 2030. 350 325 300 275 250 225 200 2010 2015 2020 2025 2030 Conditional Target Subject to the provision of international support, Colombia could increa",2025,cross-sectoral,True,none,False
COL,1.0,"tions of the National Statistics Administrative Department (DANE) for 20205 and extrapolation up to 2050. The 3 For the analysis of land cover changes, Approach 2 was employed: Total Land-­‐Use Area, ",2050,cross-sectoral,False,none,False
IND,1.0,of India’s future needs as the economy grows in the coming years: Indicator India in 2014 India in 2030 Population (billion) a 1.2 1.5 Urban population (million)b 377 (2011) 609 INR 106.44 INR 397.35 ,2030,cross-sectoral,False,none,False
GEO,1.0,tional limiting target of 35 1 % below 1990 level of its domestic total greenhouse gas emissions by 2030;2 Georgia is committed to a target of 50-57% of its total greenhouse gas 2 emissions by 2030 co,2030,cross-sectoral,True,none,False
ARM,1.0,2.14 tons per capita. The Republic of Armenia strives to achieve ecosystem neutral GHG emissions in 2050 (2.07 tons/per capita annual) with the support of adequate (necessary and sufficient) internati,2050,cross-sectoral,False,none,False
ARM,1.0,"s limitation envisaged for the period of 2050-2100. 3) Timeframe The timeframe for the INDC is 2015-2030, including: a) 2015-2019 – the period of voluntary preparatory contributions. Accept those cont",2030,cross-sectoral,False,none,False
SAU,1.0,sion seek to achieve mitigation co-benefits ambitions of up to 130 million tons of CO eq avoided by 2030 annually through contributions 2 to economic diversification and adaptation. These ambitions ar,2030,cross-sectoral,False,none,False
SAU,1.0,"baseline covers the period 2021 to 2030. As time progresses, this assessment will be expanded until 2050. Estimates and ambitions will be adjusted depending on the level of development and progress to",2050,cross-sectoral,False,none,False
NRU,1.0,"nd social inclusiveness through efforts to implement the Paris Agreement, the SAMOA Pathway and the 2030 Agenda. Nauru hereby reaffirms its commitment to the implementation of SDG 5 and to raising cap",2030,cross-sectoral,False,none,False
NRU,1.0,aising capacity for effective climate change action in accordance with SDG 13 and target 13(b). VI. 2050 Aspirational Goal Nauru aspires to achieve a balance between anthropogenic emissions by sources,2050,cross-sectoral,False,none,False
KOR,2.0,"llowing year, the Republic of Korea introduced the sectoral implementation plan by establishing the 2030 Basic Roadmap for Achieving the National Greenhouse Gas (GHG) Reduction Target (2030 Roadmap). ",2030,cross-sectoral,False,none,False
KOR,2.0,"industrial levels, the Republic of Korea declared to move towards the goal of carbon neutrality by 2050 in December 2020 and has finalized its 2050 carbon-neutrality scenarios as a follow-up measure. ",2050,cross-sectoral,False,none,False
KOR,2.0,umbrella of the established UNFCCC Climate Action and Support Transparency Training programme until 2025 in an effort to support developing countries’ implementation of the Paris Agreement. The Republ,2025,cross-sectoral,False,none,False
COL,2.0,"menten acciones para la gestión del riesgo, la adaptación y la mitigación del cambio climático para 2030. Esto se realizará de forma gradual, fortaleciendo sus capacidades al 2022, adoptando lineamien",2030,cross-sectoral,False,none,False
COL,2.0,"su seguimiento, y buscará articularse con la Estrategia de Largo Plazo para la carbono-neutralidad E2050, teniendo en cuenta las realidades territoriales del mercado laboral. Derechos humanos En línea",2050,cross-sectoral,False,none,False
COL,2.0,"l escenario adaptación al cambio climático. Catalina localizado en la zona RCP 6.0 del periodo 2011-2040. El análisis permitió evidenciar que el insular del país, al igual que en El análisis incluyó 3",2040,cross-sectoral,True,none,False
COL,2.0,"ión con Marco de Sendai TCNCC Minas y energía 8. Línea estratégica de infraestructura resiliente: A 2025, un instrumento de planificación sectorial de hidrocarburos, uno de minería de carbón y uno de ",2025,cross-sectoral,False,none,False
IND,2.0,nment of India India’s Updated First Nationally Determined Contribution Under Paris Agreement (2021-2030) August 2022 Submission to UNFCCC INDIA’S UPDATED FIRST NATIONALLY DETERMINED CONTRIBUTION WORK,2030,cross-sectoral,False,none,False
GEO,2.0,tional limiting target of 35 1 % below 1990 level of its domestic total greenhouse gas emissions by 2030;2 Georgia is committed to a target of 50-57% of its total greenhouse gas 2 emissions by 2030 co,2030,cross-sectoral,True,none,False
ARM,2.0,"ue economy-wide mitigation measures, striving to achieve per capita net emissions of 2.07 tCO eq in 2050, 2 1 From year 2033, the ban will be enacted on the import of HFCs to the Republic of Armenia f",2050,cross-sectoral,False,none,False
ARM,2.0,". 2 subject to adequate international financial, technological and capacity-building support. 6. By 2030, Armenia is going to double its share of renewables in energy generation on the path to achieve",2030,cross-sectoral,False,none,False
ARM,2.0,"e new ""Strategic Program for the Development of the Energy Sector of the Republic of Armenia (until 2040)”2, providing for more ambitious development of renewable energy and further lifetime extension",2040,cross-sectoral,False,none,False
ARM,2.0,"al and sectoral strategies and their implementation programmes, such as: • Republic of Armenia 2014-2025 Strategic Program of Perspective Development3 outlines actions to maximize the use of domestic ",2025,cross-sectoral,False,none,False
SAU,2.0,sion seek to achieve mitigation co-benefits ambitions of up to 130 million tons of CO eq avoided by 2030 annually through contributions 2 to economic diversification and adaptation. These ambitions ar,2030,cross-sectoral,False,none,False
SAU,2.0,"baseline covers the period 2021 to 2030. As time progresses, this assessment will be expanded until 2050. Estimates and ambitions will be adjusted depending on the level of development and progress to",2050,cross-sectoral,False,none,False
NRU,2.0,"nd social inclusiveness through efforts to implement the Paris Agreement, the SAMOA Pathway and the 2030 Agenda. Nauru hereby reaffirms its commitment to the implementation of SDG 5 and to raising cap",2030,cross-sectoral,False,none,False
NRU,2.0,aising capacity for effective climate change action in accordance with SDG 13 and target 13(b). VI. 2050 Aspirational Goal Nauru aspires to achieve a balance between anthropogenic emissions by sources,2050,cross-sectoral,False,none,False
KOR,3.0,Submission under the Paris Agreement The Republic of Korea’s 2035 Nationally Determined Contribution (NDC) December 2025 1. Background The Republic of Korea has been actively participating in the inte,2035,cross-sectoral,False,none,False
KOR,3.0,the Paris Agreement The Republic of Korea’s 2035 Nationally Determined Contribution (NDC) December 2025 1. Background The Republic of Korea has been actively participating in the international communi,2025,cross-sectoral,False,none,False
KOR,3.0,"ently, in 2016, the Republic of Korea introduced a sectoral implementation plan by establishing the 2030 Basic Roadmap for Achieving the National Greenhouse Gas Reduction Target. In the same year, fol",2030,cross-sectoral,False,none,False
KOR,3.0,"ement in the lead up to its full implementation. In the same month, the Republic of Korea declared “2050 Carbon Neutrality” as its national vision and enacted the Framework Act on Carbon Neutrality an",2050,cross-sectoral,False,none,False
KOR,3.0,"l-fired power generation is expected to be phased down with a view to achieving a coal phase-out by 2040. The Republic of Korea will diversify sites for solar power installations, including agrivoltai",2040,cross-sectoral,False,none,False
COL,3.0,"as de desarrollo sostenible en el país. Desde la NDC 2.0, Colombia avanzó con la formulación de la E2050 (2021), concebida como una política de Estado y guía estratégica hacia mediados de siglo. Este ",2050,cross-sectoral,False,none,False
COL,3.0,"áreas no municipalizadas de los departamentos de Amazonas, Guainía y Vaupés, el Decreto Ley 0488 de 2025 que amplía las disposiciones para la puesta en funcionamiento de los Territorios Indígenas como",2025,cross-sectoral,False,none,False
COL,3.0,"ferencia analizado 1981-2010 y, proyecta los posibles cambios hacia el futuro. Para el periodo 2021-2040 se prevén transformaciones moderadas en la temperatura; sin embargo, hacia finales del siglo (2",2040,cross-sectoral,False,none,False
COL,3.0,"trategia Nacional de Restauración que fija como meta alcanzar un millón de hectáreas restauradas en 2030 (acumuladas desde 2015), con una proporción de 80% de restauración pasiva y 20% de restauración",2030,cross-sectoral,True,none,False
COL,3.0,"n una proporción de 80% de restauración pasiva y 20% de restauración activa. Para el período 2031 a 2035 se mantendrá una tasa mínima anual de 68.684 hectáreas restauradas, garantizando continuidad en",2035,cross-sectoral,True,none,False
IND,3.0,"Paris Agreement. 2.0 SPIRIT AND APPROACH FOR INDIA’S NATIONALLY DETERMINED CONTRIBUTION (NDC) 2031-2035 India is among one of the few countries to have met goals of its first NDC submitted in 2015, ah",2035,cross-sectoral,False,none,False
IND,3.0,"ndia’s GDP from 2005 levels by 33 per cent in 2019; nine and eleven years before the target year of 2030, respectively. After achieving certain goals of its first NDC (2015), India updated its NDC in ",2030,cross-sectoral,False,none,False
GEO,3.0,"Georgia is fully committed to limit total net greenhouse gas emissions by 47% below 1990 levels by 2030, with an extended target of 50% by 2035; Figure 1. Total net greenhouse gas emissions at the nat",2030,cross-sectoral,True,none,False
GEO,3.0,"al net greenhouse gas emissions by 47% below 1990 levels by 2030, with an extended target of 50% by 2035; Figure 1. Total net greenhouse gas emissions at the national level for 2030, 2035. 6 TNELAVIUQ",2035,cross-sectoral,True,none,False
GEO,3.0,TNELAVIUQE 2OC FO SNOT NOILLIM 45 40 35 47% 50% 30 25 20 15 10 5 1990 1995 2000 2005 2010 2015 2020 2025 2030 2035 2 Georgia intends to contribute to global emissions reduction by approximately 26 mil,2025,cross-sectoral,True,none,False
GEO,3.0,"nt of net-zero emission energy systems, prioritizing the transition to zero and low-carbon fuels by 2050 or sooner” - Georgia supports the measures described in paragraph 29 below, which aims to promo",2050,cross-sectoral,False,none,False
ARM,3.0,"Annex No. 1 Decree of the Government of the Republic of Armenia of 25 December 2025, No. 1962 - L NATIONALLY DETERMINED CONTRIBUTION OF THE REPUBLIC OF ARMENIA UNDER THE PARIS AGREEMENT FOR 2026-2035 ",2025,cross-sectoral,False,none,False
ARM,3.0,L NATIONALLY DETERMINED CONTRIBUTION OF THE REPUBLIC OF ARMENIA UNDER THE PARIS AGREEMENT FOR 2026-2035 PAGE 1. INTRODUCTION 1. Armenia hereby presents its NDC 3.0 under the Paris Agreement for the pe,2035,cross-sectoral,False,none,False
ARM,3.0,"temperature rise from 1929 to 2016, with projections indicating a further increase of 2.8°C by the 2050s. Alongside rising temperatures, precipitation is expected to decline by up to 8.3% by the end o",2050,cross-sectoral,True,none,False
ARM,3.0,". reference year(s), base year(s), reference Armenia may recalculate the projected GHG emissions in 2030 to respond to policy changes and improved data period(s) or other starting point(s), and, as ₂ ",2030,cross-sectoral,False,none,False
ARM,3.0,"overed by the Republic of Armenia for 2021-2026, the Energy Sector Development Strategic Program to 2040, the Program on Energy Saving and NDC, including, Renewable Energy for 2022-2030, the Program o",2040,cross-sectoral,False,none,False
SLE,3.0,"ative instruments 90 6.3.1 The financial roadmap with the backdrop of the Climate Finance Strategy (2025) of Sierra Leone 91 6.3.2 Barriers, leveraging approach & innovative instruments - Mitigation 9",2025,cross-sectoral,False,none,False
SLE,3.0,"k Plan & Timeline 117 8.5.7 Budget Matrix (Indicative, USD per year) 117 8.5.8 Expected Outcomes by 2030 117 9 References 118 10.",2030,cross-sectoral,False,none,False
SLE,3.0,"Covering the period 2025–2035, it aligns with the Medium-Term National Development Plan (MTNDP 2024–2030), the Energy Transition and Green Growth Plan, and the Feed Salone Strateg",2035,cross-sectoral,False,none,False
SLE,3.0,"e Policy (2021), National Biodiversity Strategy and Action Plan, and Long-Term Climate Vision (2021–2050). The Feed Salone Strategy (2023) and Energy Transition & Green Growth Plan are pivotal to NDC ",2050,cross-sectoral,False,none,False
SLE,3.0,"Similarly, the Energy Transition Plan’s target of universal access and full electrification by 2040 is operationalised through NDC 3.0 investments in renewable energy, mini-grids, clean cooking, and e",2040,cross-sectoral,False,none,False
WSM,3.0,"SAMOA’S THIRD NATIONALLY DETERMINED CONTRIBUTION October 2025 Cover Image The paopao ""canoe"" represents Samoa's continuing traditional voyage to the world in Samoa's fight to keep the 1.5 degrees Celc",2025,cross-sectoral,False,none,False
WSM,3.0,"Development of Samoa (PDS) 2021/22 – 2025/26. Aligned with the National Climate Change Policy 2020–2030 this NDC 3.0 brings together adaptation, mitigation, and loss and damage in a unified practical ",2030,cross-sectoral,False,none,False
WSM,3.0,"actical and ambitious framework. Our commitments, to reduce national emissions by 104.11 Gg CO e by 2035, to expand our forest and 2 mangrove cover, to strengthen food security, and to mainstream gend",2035,cross-sectoral,False,none,False
SAU,3.0,KINGDOM OF SAUDI ARABIA Se cond Nationally Determined Contribution 2025 SUBMISSION TO UNFCCC The Kingdom of Saudi Arabia is pleased to submit its Second Nationally Determined Contribution (NDC) to the,2025,cross-sectoral,False,none,False
